city,average_pm25,average_aqi,max_aqi,min_aqi,average_health_risk,total_records
Faisalabad,54.02704802259887,137.18114406779662,268,65,3.306850282485876,2832
Multan,50.26783192090395,129.36052259887006,226,67,3.132768361581921,2832
Lahore,42.65155367231638,122.32026836158192,306,59,2.95409604519774,2832
Sialkot,39.95141242937853,113.99081920903954,188,58,2.770127118644068,2832
Rahim Yar Khan,34.48047316384181,100.454802259887,169,60,2.4625706214689265,2832
Quetta,26.270515536723167,99.84392655367232,332,33,2.5268361581920904,2832
Peshawar,30.31910310734463,95.49046610169492,208,42,2.3813559322033897,2832
Islamabad,27.665148305084745,93.38629943502825,204,53,2.367584745762712,2832
Rawalpindi,27.665148305084745,93.38629943502825,204,53,2.367584745762712,2832
Karachi,24.60374293785311,78.57591807909604,161,32,2.0981638418079096,2832
